0,1,2,3,4,5
Manufacturer,Model,Years,Styles,Country of Origin,Notes
Abarth,124 Spider,2017-2019,Roadster,Italy,High performance version of the Fiat 124 Spider
Abarth,205A,1950-1951,Coupé,Italy,
Abarth,595,2008–present,Coupé,Italy,
Abarth,Porsche 356 B Carrera GTL Abarth,1960-1961,Coupé,Italy,
Abarth,Fiat Abarth 850 TC Berlina,1964–1973,"Roadster, Coupé",Italy,
Aerocon,Boa Type S,1978-1979,Coupé,United States,
AC Cars,378 GT Zagato,2012–present,Coupé,England,
AC Cars,3000ME,1979-1984,Coupé,England,
AC Cars,Ace,1953–1963,Roadster,England,
AC Cars,Aceca,1954–1963,Coupé,England,
AC Cars,Cobra,1961-1969,Roadster,England/United States,Also known as the Shelby Cobra
AC Cars,Superblower,1997-2002,Coupé,England,
AC Propulsion,Tzero,1997-2003 (prototypes only),Roadster,United States,
Ajlani,Drakuma,2019,Coupé,United Arab Emirates,
Acura,NSX,1990-2005,"Coupé, Targa",Japan,Also known as the Honda NSX
Acura,NSX,2016–2022,Coupé,Japan,
Acura,NSX Type S,2021–2022,Coupé,Japan,Limited to 350 units
Acura,RSX,2001-2006,Liftback Coupe,Japan,Also sold in Japan as Honda Integra
Alfa Romeo,4C,2013–2019,"Coupé, Roadster",Italy,One of the few Alfa Romeos offered first in the North American market
Alfa Romeo,6C,1925–1954,Roadster,Italy,
Alfa Romeo,RL,1922–1927,Roadster,Italy,
Alfa Romeo,Spider (2006),2006–2010,Roadster,Italy,
Alfa Romeo,Spider,1966–1993,Roadster,Italy,
Alfa Romeo,Sprint,1976–1989,Coupé,Italy,
Alfa Romeo,Alfetta GT and GTV,1974–1987,Coupé,Italy,
Alfa Romeo,SZ,1989–1991,Coupé,Italy,
Alfa Romeo,RZ,1992–1994,Roadster,Italy,
Alfa Romeo,GTV (916),1994–2004,"Coupé, Roadster",Italy,
Alfa Romeo,Brera,2005–2010,Coupé,Italy,
Alfa Romeo,Diva,2006,Coupé,Italy,Concept car
Alfa Romeo,GT,2003-2010,Coupé,Italy,
Alfa Romeo,Giulia/ Giulia Quadrifoglio,"1962-1978, 2015–2024",Sports Sedan,Italy,
Alfa Romeo,Giulia GTA/ Giulia GTAm,2020-2024,Sports Sedan,Italy,Limited production
Alfa Romeo,Giulia SWB Zagato,2022,Coupé,Italy,One-off model
Alfa Romeo,8C Competizione,2007–2010,"Coupé, Roadster",Italy,
Alfa Romeo,Disco Volante,2013-2017,"Coupé, Spyder",Italy,Limited production
Alfa Romeo,33/2 Coupé Speciale,1969,Coupé,Italy,Concept car
